Wpk,A0Q4P5
Isin,US5439122087
Isin,US69351J5121
Isin,US7617242026
Isin,US7617243016
Isin,US52469E5006
Isin,US2618941098
Isin,US4377693001
Isin,US69351J2490
Isin,US69351J5790
Wpk,989287
Isin,US2619861030
Isin,US89155H7026
Isin,US8858826212
Isin,US81114R1032
Isin,US9300574509
Isin,US00245V1061
Isin,US09248U8172
Wpk,970002
Isin,US8163261022
Wpk,970908
Isin,US5439163081
Isin,US3139131052
Isin,US0263931083
Wpk,A0D8LR
Wpk,970467
Wpk,972836
Isin,US03072X1046
Isin,US25159K8201
Wpk,933578
Isin,US2779058658
Wpk,A0LBRA
Isin,US8163321008
Isin,US9289695002
Isin,US0014197463
Wpk,970044
Isin,US7429694398
ValorenNumber,582280
Isin,US7429694703
ValorenNumber,2546703
ValorenNumber,2030954
ValorenNumber,1375677
ValorenNumber,917240
ValorenNumber,916808
ValorenNumber,582314
ValorenNumber,621555
Isin,US0186361004
ValorenNumber,1033079
ValorenNumber,155453
ValorenNumber,153771
ValorenNumber,2498926
Isin,US19764J1043
ValorenNumber,967541
Wpk,A1CTJY
Wpk,A0YH29
Isin,US6819374884
ValorenNumber,873772
ValorenNumber,873891
Isin,US0014133013
ValorenNumber,2078912
ValorenNumber,661350
ValorenNumber,1198854
ValorenNumber,766323
ValorenNumber,951183
Wpk,987021
Wpk,A1C03A
ValorenNumber,1387535
Wpk,971142
ValorenNumber,1709122
ValorenNumber,74131
Isin,US8769221057
Wpk,970077
Wpk,970078
Wpk,754954
ValorenNumber,787262
Wpk,970082
Isin,US2562011047
Wpk,631864
Wpk,A0M0K0
Isin,US52468E1055
ValorenNumber,1030479
Wpk,806928
Wpk,970086
ValorenNumber,104655
ValorenNumber,927119
Isin,US01859T1060
ValorenNumber,964590
Wpk,972837
Wpk,A1C0M8
Wpk,970376
ValorenNumber,967538
Isin,US8297971090
ValorenNumber,970775
ValorenNumber,282145
ValorenNumber,969583
Wpk,A0RB35
Wpk,971812
ValorenNumber,1283084
Wpk,970097
Wpk,970100
Isin,US0014107033
ValorenNumber,2437511
Wpk,676165
Wpk,985332
ValorenNumber,71601
ValorenNumber,915827
ValorenNumber,1032254
ValorenNumber,637083
ValorenNumber,873782
Wpk,971838
Wpk,A0Q0SN
ValorenNumber,931818
Wpk,970108
ValorenNumber,4862
ValorenNumber,873791
Isin,US9269028596
Wpk,970132
ValorenNumber,969663
Wpk,970881
ValorenNumber,912984
ValorenNumber,1032256
Wpk,972834
Wpk,970135
Wpk,971141
ValorenNumber,943625
ValorenNumber,927113
ValorenNumber,1124452
ValorenNumber,1380629
ValorenNumber,1381042
ValorenNumber,925186
Wpk,970146
ValorenNumber,1851887
ValorenNumber,628772
Isin,US09255T1097
ValorenNumber,111374
ValorenNumber,2288029
Wpk,970382
Wpk,970636
ValorenNumber,2140316
ValorenNumber,1132145
ValorenNumber,2548260
Isin,US00245Y1001
Isin,US00246B1098
ValorenNumber,2554160
ValorenNumber,199325
ValorenNumber,292267
ValorenNumber,839316
ValorenNumber,839326
ValorenNumber,840255
Sedol,2491000
ValorenNumber,809959
ValorenNumber,840256
ValorenNumber,947659
ValorenNumber,677343
ValorenNumber,415601
Isin,US19766F3405
Wpk,971470
ValorenNumber,199326
ValorenNumber,415600
Wpk,970510
Wpk,970499
Isin,US63867R4074
Isin,US63872R1032
Isin,US6412243080
Isin,US19764U4067
Isin,US36239V1089
Isin,US5757191094
Isin,US5757361036
Isin,US9720011017
Isin,US36464W1027
Isin,US52469F1350
Isin,US31638R2040
Isin,US2620014314
Isin,US87505V3978
Isin,US52469E1047
Isin,US00141B5848
Isin,US22235L2034
Isin,US63867R6210
Isin,US63867R2581
Isin,US6283801073
Isin,US3176091391
Isin,US8163351039
Isin,US92828N7912
Isin,US0185251057
Isin,US77956H2031
Isin,US6169332060
Isin,US68380H2085
Isin,US2862791041
Isin,US6642101017
Isin,US09251G5071
Isin,US5434873189
Isin,US25155T5103
Isin,US52470J4076
Isin,US7795721064
Isin,US2382102075
Isin,US0014225009
Isin,US7175881074
Isin,US22540Y8259
Isin,US3696611033
Sedol,2689043
Isin,US3525181042
Isin,US7414791092
Isin,US7795621074
Isin,US00142J4792
Isin,US2390801049
Isin,US3163451079
Isin,US2459128789
Isin,US37252M1080
Isin,US7467611056
Isin,US7467921000
Isin,US7468091027
Isin,US23337T1025
Isin,US25156G7152
Isin,US25157W4042
Isin,US25157M6791
Isin,US7809058404
Isin,US01877E1073
Isin,US3534962010
Isin,US7467451081
Isin,US0030213674
Isin,US8603248399
Isin,US9220313079
Isin,US40168W1036
Isin,US40168W4758
Isin,US8162211051
Isin,US9032891064
Isin,US47803P3029
Isin,US9229072098
Isin,US8574831017
Isin,US03072W1062
Isin,US19765N4198
Isin,US81115H1041
Isin,US00143K4004
Isin,US25159L5628
Sedol,2893208
Isin,US41013P1030
Isin,US48019P1021
Isin,US4099063020
Isin,US3535181032
Isin,US9229073088
Isin,US0250831064
Isin,US0250835024
Isin,US9229071009
Isin,US46600G8794
Isin,US30249C1018
Isin,US9300571042
Isin,US9300575001
Isin,US9204231008
Isin,US9204401049
Isin,US9204571080
Isin,US89360D1081
Isin,US2338201096
Isin,US9301321058
Isin,US93208V3042
Isin,US9393301067
Isin,US9219351023
Isin,US89360C4235
Isin,US74972K5598
Isin,US8163381077
Isin,US9220181062
Isin,US3535161075
Isin,US6537411083
Isin,US00142C2439
Isin,US2620014983
Isin,US9219261016
Isin,US9220314069
Isin,US0265101073
Isin,US3160711095
Isin,US3139141036
Isin,US5246944038
Isin,US1976661009
Isin,US3678292075
Isin,US60934N2945
Isin,US7239071019
Sedol,B0C9435
Isin,US00143M7112
Isin,US3160621088
Isin,US2459051049
Isin,US3160895070
Isin,US7240272309
Isin,US8568481068
Isin,US8568511005
Isin,US5648153063
Isin,US8801961009
Isin,US8252492041
Isin,US7470121028
Isin,US25155T6689
Isin,US3141951083
Isin,US60934N7407
Isin,US9219281071
Isin,US3535351072
Isin,US1166501023
Isin,US7795511002
Isin,US25155T5699
Isin,US74925K7063
Isin,US6537351008
Isin,US09252L5057
Isin,US5529841067
Isin,US41014E8342
Isin,US00143M7781
Isin,US7467821010
Isin,US41014E8185
Isin,US0155661020
Isin,US7557401079
Isin,US41014E7682
Isin,US63873A1097
Isin,US41014E7922
Sedol,B0C9DK5
Isin,US2459108070
Isin,US09248U7182
Isin,US78443M6075
Sedol,2337751
Isin,US8568391051
Isin,US8568341064
Isin,US1315771089
Isin,US94984B6377
Isin,US2779117496
Isin,US05528C4024
Isin,US9899969136
Sedol,2689106
Isin,US09253V1061
Isin,US40168W4345
Isin,US2391038641
Isin,US9300576660
Isin,US9300577999
Isin,US6837961068
Isin,US6956271091
Isin,US0088797446
Isin,US0014217428
Isin,US6169801080
Isin,US19765L8506
Isin,US9196421088
Isin,US74441U2042
Isin,US9220312089
Isin,US7839257950
Isin,US9229074078
Isin,US6261241011
Isin,US38142B7991
Isin,US8172705076
Sedol,B0CB011
Isin,US7429751057
Isin,US3159108444
Isin,US44980G6017
Isin,US00900W1009
Isin,US3164641066
Isin,US3159108519
Isin,US19766G8684
Isin,US19764F8547
Isin,US3002374763
Isin,US61744J8383
Isin,US19765N4685
Isin,US9229075067
Isin,US31420C7048
Isin,US63872R8300
Isin,US0185501030
Isin,US89154W1062
Isin,US60934N7324
Isin,US32008F5070
Isin,US3534966078
Isin,US1971994090
Isin,US78443L6092
Isin,US3002587380
Isin,US9219381061
Isin,US00142R1095
Isin,US00142C7065
Isin,US0187801065
Isin,US00142R3075
Isin,US3161271099
Isin,US9114781050
Isin,US06847P1084
Isin,US7689196076
Isin,US6283803053
Isin,US9204001088
Isin,US2459082077
Isin,US60934N6664
Isin,US59563J1034
Isin,US09252M8340
Isin,US1475431029
Isin,US92828N4034
Isin,US74440Y2072
Isin,US7469331000
Isin,US00141B5764
Isin,US76131T1088
Isin,US60934N2291
Isin,US5529813009
Isin,US44978A2933
Isin,US24611D5730
Isin,US0423171075
Isin,US44978A2776
Isin,US26201S1006
Isin,US56062F2285
Isin,US7236221062
Isin,US8111961046
Isin,US76931J1025
Isin,US74925K6073
Isin,US4533201038
Isin,US2620162071
Sedol,B6T5CB2
Isin,US52470R8887
Isin,US92113B1061
Isin,US92838V8330
Isin,US44978A2446
Isin,US92828R6852
Isin,US1315822072
Isin,US9300577163
Isin,US5439181067
Isin,US44978A2289
Isin,US5440041045
Isin,US5574924933
Isin,US0185961069
Isin,US92828R7843
Isin,US6283802063
Isin,US26248T3014
Isin,US5527231089
Isin,US24611D5409
Isin,US92913X8112
Isin,US92913X8377
Isin,US2862811005
Isin,US0250813088
Isin,US3163454040
Isin,US3161721051
Isin,US6282638328
Isin,US46600G6970
Isin,US5578771074
Isin,US8769021077
Isin,US2695901056
Isin,US5529811029
Isin,US3535381012
Isin,US3161461096
Isin,US19765L5874
Isin,US4710213038
Isin,US7042231065
Isin,US3161841008
Isin,US92828N7003
Isin,US05588Q1013
Isin,US0014218582
Isin,US9204471091
Isin,US5770861012
Isin,US8858824498
Isin,US0014217006
Isin,US09661D4097
Isin,US6641991061
Isin,US92913X8781
Isin,US9032881081
Isin,US2779071016
Isin,US92647Q5870
Isin,US85917K5618
Isin,US3696641071
Isin,US6480181097
Isin,US09252M7763
Isin,US7464761003
Isin,US9220311099
Isin,US9229087021
Isin,US0250818038
Isin,US7795701009
Isin,US4710211057
Isin,US09251C5067
Isin,US92913L6920
Isin,US63872R7989
Isin,US5440061092
Isin,US2620151009
Isin,US92914P1066
Isin,US76931H6018
Isin,US6839671038
Isin,US0185288026
Isin,US0014222030
Isin,US0978731034
Isin,US4710238530
Isin,US2779118718
Isin,US4102231010
Isin,US8141431036
Isin,US3163894021
Isin,US9032882071
Isin,US2949371072
Isin,US3163905256
Isin,US4710212048
Isin,US55272P2083
Isin,US92113Q1031
Isin,US74441N2009
Isin,US6099202029
Isin,US4165293782
Isin,US09248U6192
Isin,US1976171033
Sedol,BYPJQB2
Isin,US30249G1022
Isin,US9300572784
Isin,US3002361067
Isin,US9283748674
Isin,US2779118890
Isin,US19763P5153
Isin,US46600G1013
Isin,US60934G3074
Isin,US4710214028
Isin,US9229062016
Isin,US3159121058
Isin,US75573L1026
Isin,US25158T8484
Isin,US60934G2084
Isin,US00141G7328
Isin,US8174181060
Isin,US2620161081
Isin,US1316181007
Isin,US60934G1094
Isin,US30246J7037
Isin,US29264Q2012
Isin,US29264Q1022
Isin,US5529871098
Isin,US74254V6386
Isin,US60934N7811
Isin,US2174581080
Isin,US77957R8043
Isin,US9264643639
Isin,US38142B8312
Isin,US74440W4096
Isin,US8080881084
Isin,US3540141021
Isin,US7795731048
Isin,US09248U7000
Isin,US60934N1954
Isin,US2618801086
Isin,US9229081081
Isin,US77957R7052
Isin,US0014192175
Isin,US1475481016
Isin,US05588B1044
Isin,US44977C3658
Isin,US0930014024
Isin,US9289657143
Isin,US22235L3024
Isin,US3160481079
Isin,US5246581012
Isin,US23337Y2000
Sedol,BMJJWD8
Isin,US09253C5040
Isin,US09253C8192
Isin,US60934N7993
Isin,US2619801069
Isin,US0185254028
Isin,US9032883061
Isin,US7841181016
Isin,US00142J8421
Isin,US6169502001
Isin,US0185288778
Isin,US1316202050
Isin,US1316201060
Isin,US7841182006
Isin,US1256751082
Isin,US52470R7558
Isin,US7795751095
Isin,US01864D4016
Isin,US0186428274
Isin,US2949381055
Isin,US3162001040
Isin,US6774101025
Isin,US8252491050
Isin,US0186428357
